Title,Price,Link
Samsung Galaxy S22 S22+ S22 Ultra 5G - 128GB - Unlocked Verizon T-Mobile AT&T,$229.95 to $319.95,https://www.ebay.com/itm/276429448744
Apple iPhone X | XR | XS | XS Max - 64GB 128GB 256GB - Verizon GSM Unlocked AT&T,$154.95 to $319.95,https://www.ebay.com/itm/256193691993
Google Pixel 6 | 6a | 6 Pro - 128GB 256GB 512GB - Unlocked Verizon T-Mobile AT&T,$139.95 to $264.95,https://www.ebay.com/itm/276523158982
Apple iPhone 11 - 64GB 128GB - Unlocked Verizon AT&T Cricket T-Mobile - Good!,$194.95 to $284.95,https://www.ebay.com/itm/276082722823
SHARP AQUOS Keitai 601SH Softbank Unlocked SIM Free variation lot,$77.00 to $85.00,https://www.ebay.com/itm/204382636998
Nokia 3310 Navy blue Unlocked 2G GSM 900/1800 Mobile Phone (with Snake II Game),$27.30,https://www.ebay.com/itm/155813861527
Portable Wireless Bluetooth-compatible Ring Remote Control Fingertip Selfie,$8.41,https://www.ebay.com/itm/404490509491
Portable Wireless Bluetooth-compatible Ring Remote Control Fingertip Selfie,$7.79,https://www.ebay.com/itm/404756621802
"Samsung Galaxy Folder 2 SM-G1600 Dual Sim 16GB Android Unlocked 3.8"" Smartphone",$89.00 to $94.00,https://www.ebay.com/itm/156322635487
Motorola Razr V3i Dolce Gabbnna (Limited Edition) Unlocked Flip Mobile Phone,$40.00,https://www.ebay.com/itm/394635204017
Apple iPhone 12 | 12 mini - 64GB 128GB 256GB - Unlocked AT&T T-Mobile Verizon,$199.95 to $289.95,https://www.ebay.com/itm/276563888321
Samsung Galaxy S10 S10e S10+ Plus 128GB 512GB Unlocked Verizon T-Mobile AT&T,$99.85 to $249.85,https://www.ebay.com/itm/275343078481
Google Pixel 7 Pro 128GB Unlocked - Very Good,$279.99,https://www.ebay.com/itm/256194567959
"Punkt MP02A 4G LTE Black Minimalist Secure Feature Mobile Phone ""BRAND NEW""",$250.00,https://www.ebay.com/itm/126601079673
SHARP AQUOS SH-01J DOCOMO ANDROID Flip Phone Keitai UNLOCKED variation,$53.20 to $71.25,https://www.ebay.com/itm/204382637005
"Huawei Mate60 Pro 7.3-inch large screen 16+1TB, 8000mAh",$192.67,https://www.ebay.com/itm/375644177920
85% N ew Apple iPhone 4 4S 8GB 16GB 32GB Unlocked Black White Fully working,$29.00 to $40.00,https://www.ebay.com/itm/155611329818
Xiaomi Redmi Note 13 Pro 5G Snapdragon 7s Gen 2 120Hz 200MP 5100mAh 16GB+512GB,$219.87 to $400.88,https://www.ebay.com/itm/355911491928
FOR SPECTRUM Motorola Razr+ Plus 40 Ultra XT2321 256GB Infinite Black - Good,$216.99,https://www.ebay.com/itm/404911877165
Unlocked Samsung Galaxy Folder G1600 Dual SIM LTE Flip SmartPhone- New Sealed,$88.00,https://www.ebay.com/itm/363763978897
"Samsung Galaxy Folder2 SM-G1600 Dual Sim 16GB Android LTE 3.8"" Flip Phone",$89.00 to $94.00,https://www.ebay.com/itm/126596069881
SHARP AQUOS KEITAI SH-06G DOCOMO Android Flip Phone Unlocked variation,$64.60 to $103.55,https://www.ebay.com/itm/204382637004
New Listingoneplus 12 Silky Black  New  (Phone Only) Unlocked  ****  Cph2583 ,$550.00,https://www.ebay.com/itm/116340399704
SHARP AQUOS KEITAI 2 601SH PINK SoftBank 4G Android Flip Phone Unlocked NEW,$398.88,https://www.ebay.com/itm/387234830177
Portable Wireless Bluetooth-compatible Ring Remote Control  Fingertip Selfie,$10.04,https://www.ebay.com/itm/195586584146
【On Sale】Apple iPhone 12|7-32GB|128GB-All Colors Unlocked-Excellent Condition Gi,$89.76 to $282.19,https://www.ebay.com/itm/356021865841
Kyocera DuraXV E4610 LTE 4G Camera Model Verizon GSM UNLOCKED Phone New Other 88,$174.55,https://www.ebay.com/itm/285794350691
Google Pixel 6 | 6a | 6 Pro - 128 GB (Unlocked) Smartphone - All Colors,$134.95 to $229.95,https://www.ebay.com/itm/266812035484
Apple iPhone 12 | 12 mini 64GB | 128GB | 256GB - Unlocked AT&T Verizon T-Mobile,$199.95 to $269.95,https://www.ebay.com/itm/276563888263
New ListingApple iphone 15 pro Max A2849 1TB White (GSM+CDMA) Factory T- MOBLIE,$224.50,https://www.ebay.com/itm/166994575826
Original Unlocked Sony Ericsson W810 W810i W810C Bluetooh Radio Cell phone,$49.99,https://www.ebay.com/itm/185909987330
Motorola T-Mobile Sidekick Slide (Q700) 12MB - Red QWERTY Cell Phone New,$29.25,https://www.ebay.com/itm/176271001187
Working well Original Apple iPhone 6 6 Plus IOS 4G 16/32/64GB Unlocked all color,$36.00 to $53.00,https://www.ebay.com/itm/156198581180
KYOCERA GRATINA 4G KYF31  Android Flip Phone Unlocked,$38.00,https://www.ebay.com/itm/375554053230
"Samsung Galaxy A54 5G 128GB SM-A546 50 MP (SIM+eSIM) T-Mobile, AT&, Unlocked",$159.99 to $229.99,https://www.ebay.com/itm/275926762447
🌟🌟NEW SAMSUNG GALAXY S22 5G SM-S901U1 128GB-FACTORY UNLOCKED SMARTPHONES🌟🌟,$299.99 to $305.99,https://www.ebay.com/itm/116324308789
"Google Pixel 9, Obsidian, 128GB, Brand New Unlocked",$649.95,https://www.ebay.com/itm/126639304242
S26 Ultra Global Version 5G 7.3 inch HD 12G+512GB 7800mAh Android Smartphone,$155.39,https://www.ebay.com/itm/276628913007
Apple - iPhone 16 - 128gb - Factory Sealed - Factory Warranty - UNLOCKED,$828.99,https://www.ebay.com/itm/156415419882
